cell_id,latitude,longitude,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
C001,23.89967813399987,90.36602600600327,32.55909090909097,31.438000000000045,30.999090909090967,31.557272727272732,31.58846153846156,32.62555555555559,33.383333333333326,31.83000000000004,33.13666666666671,32.4616666666667,31.366363636363644
C002,23.89967813399987,90.37500915884446,33.35727272727274,32.874000000000024,32.36400000000003,31.870000000000005,33.210000000000036,34.903333333333364,34.08692307692314,32.94400000000002,34.861666666666736,33.14000000000004,31.712000000000046
C003,23.89967813399987,90.38399231168566,33.89181818181822,32.46833333333336,33.24800000000005,33.30200000000002,33.99000000000001,35.56750000000005,34.72384615384618,33.52800000000002,35.56666666666672,34.402727272727304,32.39400000000006
C004,23.89967813399987,90.39297546452686,34.55833333333334,33.397272727272764,33.898000000000025,34.53000000000003,34.66285714285715,36.275000000000034,35.37153846153848,35.00500000000005,36.20500000000004,34.73333333333335,33.06400000000002
C005,23.89967813399987,90.42890807589164,33.38000000000005,31.03363636363639,31.759230769230783,31.478571428571456,33.20142857142861,34.08777777777783,34.29909090909092,32.55400000000003,34.10333333333335,33.397272727272764,31.393636363636404
C006,23.89967813399987,90.43789122873284,31.010000000000048,30.397272727272764,29.83571428571429,30.230000000000018,31.027142857142906,32.10200000000003,32.83909090909094,31.2211111111111,32.80666666666673,31.176153846153852,30.05363636363637
C007,23.89967813399987,90.44687438157403,31.010000000000048,30.397272727272764,29.83571428571429,30.230000000000018,31.027142857142906,32.10200000000003,32.83909090909094,31.2211111111111,32.80666666666673,31.176153846153852,30.05363636363637
C008,23.89967813399987,90.45585753441522,30.295714285714325,29.99000000000001,29.222000000000037,29.700666666666677,30.00142857142862,30.890000000000043,31.935454545454604,30.32800000000003,31.978333333333353,30.474615384615447,29.48454545454547
C009,23.89967813399987,90.46484068725641,29.955333333333385,29.608181818181833,28.74333333333334,28.863333333333344,29.484666666666726,30.03000000000003,30.900000000000034,29.78636363636366,31.720909090909117,29.923333333333346,29.051666666666733
C010,23.890694981158674,90.35704285316207,30.746000000000038,30.04454545454547,29.404545454545485,29.444545454545448,29.960000000000036,31.024000000000058,30.896000000000015,29.918000000000006,30.64428571428573,30.08076923076925,28.86500000000001
C011,23.890694981158674,90.36602600600327,31.226363636363658,30.57181818181823,29.996000000000038,30.475454545454568,30.68384615384622,31.53400000000005,32.208181818181856,31.02800000000002,31.902307692307716,31.4715384615385,29.775000000000034
C012,23.890694981158674,90.37500915884446,32.97909090909093,32.30600000000004,31.84400000000005,32.02818181818185,32.67714285714288,33.50777777777779,34.14000000000004,32.51800000000003,34.1546153846154,33.08692307692314,31.46111111111111
C013,23.890694981158674,90.38399231168566,34.29363636363638,32.541666666666686,33.31,34.05000000000001,34.23428571428576,35.76111111111112,35.50384615384621,35.08250000000004,35.82538461538462,34.702727272727316,32.67599999999999
C014,23.890694981158674,90.39297546452686,34.39000000000004,32.99800000000005,33.900000000000034,34.414000000000044,34.72142857142859,36.172222222222274,35.71153846153851,34.387777777777785,36.18384615384622,34.76272727272732,33.172222222222274
C015,23.890694981158674,90.41992492305044,34.60833333333335,33.160909090909115,33.49800000000005,33.486666666666736,34.072857142857174,35.24600000000004,35.46500000000003,33.860909090909104,35.363333333333344,34.34000000000003,32.26166666666671
C016,23.890694981158674,90.42890807589164,33.360000000000014,32.35200000000003,32.34333333333336,31.796153846153857,33.30142857142863,34.25800000000004,34.77181818181822,33.04454545454547,34.39333333333337,33.27800000000002,31.78666666666669
C017,23.890694981158674,90.43789122873284,31.700769230769254,31.06400000000002,30.976666666666688,30.677999999999997,31.928571428571445,32.739090909090976,33.68818181818182,32.08000000000004,33.34000000000003,31.99000000000001,30.666363636363656
C018,23.890694981158674,90.44687438157403,30.97142857142859,30.614000000000033,30.103846153846177,30.03000000000003,30.804285714285754,31.686363636363694,31.591818181818212,31.208000000000027,32.650000000000034,31.239090909090976,29.995454545454606
C019,23.890694981158674,90.45585753441522,30.404285714285777,30.355999999999995,29.699230769230837,29.61375000000004,30.32000000000005,31.06272727272733,30.873636363636365,30.698888888888916,31.760769230769256,30.686363636363694,29.50090909090909
C020,23.890694981158674,90.46484068725641,29.995714285714314,30.03000000000003,28.906666666666695,29.022000000000048,29.81714285714287,30.58454545454549,30.310000000000002,30.088000000000022,31.438333333333333,30.177272727272737,28.89833333333337
C021,23.88171182831748,90.35704285316207,31.893333333333374,30.73727272727274,29.998333333333335,30.58090909090913,30.571538461538523,31.900000000000034,32.041666666666686,30.55444444444447,32.01000000000005,30.975714285714332,29.666363636363656
C022,23.88171182831748,90.36602600600327,32.73166666666668,31.502727272727327,30.52000000000004,31.602727272727293,31.60076923076923,32.896000000000015,33.22333333333336,32.05000000000001,33.185384615384635,32.47000000000003,30.80600000000004
C023,23.88171182831748,90.37500915884446,33.668000000000006,32.76636363636368,32.33600000000001,32.54818181818183,33.05307692307696,34.51000000000005,34.74538461538464,33.49888888888893,34.64500000000004,33.36500000000001,31.947777777777787
C024,23.88171182831748,90.38399231168566,33.508333333333326,32.8366666666667,33.096000000000004,34.08400000000006,33.83857142857147,35.385555555555584,35.20230769230773,34.09000000000003,35.30846153846153,34.47909090909093,32.72333333333336
C025,23.88171182831748,90.39297546452686,33.738333333333344,33.173333333333346,33.26000000000005,33.77400000000006,34.22285714285715,35.627777777777794,35.170000000000016,33.679090909090974,35.21923076923082,34.29363636363638,32.428
C026,23.88171182831748,90.40195861736805,33.83545454545458,32.946363636363685,33.04000000000002,32.98272727272729,33.860000000000014,35.57200000000006,34.87833333333333,33.462000000000046,34.965384615384664,34.05363636363637,32.174000000000035
C027,23.88171182831748,90.41094177020925,33.89833333333337,32.679090909090974,32.962000000000046,33.18692307692311,33.78142857142859,35.39000000000004,35.06636363636369,33.56636363636369,34.9223076923077,33.96818181818185,32.01000000000005
